Filenames,desert,mountains,sea,sunset,trees
1901.jpg,0,0,0,1,1
1902.jpg,0,1,0,0,0
1903.jpg,0,0,0,0,1
1904.jpg,0,0,0,0,1
1905.jpg,0,0,1,0,0
1906.jpg,0,0,0,0,1
1907.jpg,1,0,0,0,1
1908.jpg,0,0,0,0,1
1909.jpg,0,1,0,0,1
1910.jpg,0,1,0,0,1
1911.jpg,0,0,0,0,1
1912.jpg,1,0,0,0,1
1913.jpg,1,0,1,0,1
1914.jpg,0,0,0,0,1
1915.jpg,0,1,0,0,1
1916.jpg,1,0,0,0,1
1917.jpg,0,0,1,0,0
1918.jpg,0,1,0,0,1
1919.jpg,0,0,1,0,1
1920.jpg,0,1,1,0,0
1921.jpg,0,0,0,0,1
1922.jpg,0,0,0,0,1
1923.jpg,0,1,0,0,1
1924.jpg,0,0,0,1,1
1925.jpg,1,1,0,0,1
1926.jpg,0,0,0,0,1
1927.jpg,0,1,0,0,0
1928.jpg,0,1,0,0,1
1929.jpg,0,0,1,0,1
1930.jpg,1,0,0,0,1
1931.jpg,1,0,0,0,1
1932.jpg,0,0,0,0,1
1933.jpg,0,1,0,0,1
1934.jpg,0,1,0,0,0
1935.jpg,0,0,1,0,0
1936.jpg,0,0,0,0,1
1937.jpg,1,0,1,0,0
1938.jpg,0,0,0,0,1
1939.jpg,1,0,0,0,1
1940.jpg,0,0,0,0,1
1941.jpg,1,0,0,0,1
1942.jpg,0,0,0,0,1
1943.jpg,0,0,0,0,1
1944.jpg,0,0,0,0,1
1945.jpg,0,0,0,0,1
1946.jpg,0,0,0,0,1
1947.jpg,0,0,1,0,0
1948.jpg,1,0,0,0,1
1949.jpg,0,0,0,0,1
1950.jpg,0,1,0,0,1
1951.jpg,1,0,0,0,1
1952.jpg,0,0,1,0,0
1953.jpg,1,1,0,0,1
1954.jpg,1,0,0,0,1
1955.jpg,0,0,0,0,1
1956.jpg,0,0,0,0,1
1957.jpg,0,0,0,0,1
1958.jpg,1,0,0,0,0
1959.jpg,1,0,0,0,0
1960.jpg,0,0,1,0,0
1961.jpg,0,1,0,0,1
1962.jpg,0,0,1,0,0
1963.jpg,1,1,0,0,0
1964.jpg,1,0,0,0,1
1965.jpg,0,1,0,0,0
1966.jpg,1,0,0,0,1
1967.jpg,1,0,0,0,1
1968.jpg,0,1,0,0,1
1969.jpg,0,0,1,0,1
1970.jpg,1,1,0,0,0
1971.jpg,1,0,0,0,1
1972.jpg,0,0,0,0,1
1973.jpg,0,1,0,0,1
1974.jpg,1,0,0,0,1
1975.jpg,1,1,0,0,0
1976.jpg,0,0,0,0,1
1977.jpg,0,1,0,0,1
1978.jpg,0,0,0,0,1
1979.jpg,0,0,0,0,1
1980.jpg,1,1,0,0,0
1981.jpg,0,0,0,0,1
1982.jpg,0,0,1,0,1
1983.jpg,0,1,0,0,1
1984.jpg,1,0,0,0,1
1985.jpg,1,0,0,0,1
1986.jpg,0,0,0,0,1
1987.jpg,0,0,0,0,1
1988.jpg,1,0,0,1,0
1989.jpg,0,0,0,0,1
1990.jpg,0,1,1,0,0
1991.jpg,0,0,0,0,1
1992.jpg,0,0,0,0,1
1993.jpg,1,0,0,0,1
1994.jpg,0,1,0,0,1
1995.jpg,1,1,0,0,0
1996.jpg,0,0,0,0,1
1997.jpg,1,1,0,0,1
1998.jpg,0,1,0,0,1
1999.jpg,0,1,0,0,0
2000.jpg,0,0,0,0,1
